Acil Durum Cümlesi,Aciliyet Puanı
"Bir evde duman gözüktü, yangın alarmı!",Yüksek
"İtfaiye ekipleri, enkaz altında insanlar!",Yüksek
"Okulda yangın alarmı çalıyor, tahliye!",Orta
"Yolda kaza oldu, trafik sıkışıklığı!",Orta
"Bir çocuk yüksek ateşte, hemen yardım!",Yüksek
"Bir bina yanıyor, itfaiye çağrıldı!",Yüksek
"Bir çocuk yaralandı, hemen ambulans!",Yüksek
"Yangın çıktı, yangın tüpü patladı!",Yüksek
"Evde yılan görüldü, tehlike var!",Yüksek
"Bir kişi ağır yaralandı, ambulans!",Yüksek
"Ana su hattı patladı, su baskını!",Yüksek
Evde hırsızlık olduğu düşünülüyor!,Yüksek
"İnşaat alanında kaza oldu, yaralılar!",Yüksek
"Telefon hattında arıza var, onarım!",Orta
Bir çocuk kaybolduğunu iddia eden çağrı!,Orta
"Bir kapı kilitlendi, içeride biri!",Orta
Mahsur kalanlar için yardım!,Yüksek
Sıcak su tesisatında arıza!,Orta
"Trafik kazası, yaralılar var!",Orta
Acil elektrik tamiri!,Orta
Bir çocuk yüksek ateşle!,Orta
"Apartman yangını, itfaiye!",Yüksek
"Yaralı bir çocuk, ambulans!",Yüksek
"Yangın tüpü patladı, yangın!",Yüksek
Evde kuyruklu yılan!,Yüksek
Acil tıbbi yardım gerekiyor!,Yüksek
"Su baskını, alt katlara ulaşıyor!",Yüksek
"Elektrik telleri düştü, tehlike!",Yüksek
Evde kadın gözaltında!,Orta
"Evde duman var, yangın!",Yüksek
"Mahsur kalanlar, enkaz altında!",Yüksek
Okulda yangın alarmı!,Orta
"Kaza, yol kapandı!",Orta
"Yüksek ateş, bebek!",Yüksek
"Küçük kaza, ambulans!",Orta
"Su sızıntısı, onarım!",Orta
"Kaybolan çocuk, arama kurtarma!",Yüksek
"Gaz sızıntısı, tahliye!",Yüksek
"Bina çöktü, enkaz!",Yüksek
Evde rehine durumu!,Yüksek
"Kaza, trafik sıkışıklığı!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Su baskını, ana su hattı patladı!",Yüksek
"Ağır hasta, ambulans!",Yüksek
"Duman, evde yangın!",Yüksek
"Yaralı çocuk, ambulans!",Yüksek
"Kaza, yaralılar!",Yüksek
"Su arızası, tamir!",Orta
Acil tıbbi yardım!,Yüksek
"Yangın, itfaiye!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, bina sular altında!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, onarılmalı!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, ev tahliye edilmeli!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Rehin alınan kadın, polis!",Yüksek
"Kaza, trafik sıkışıklığı var!",Orta
"Yangın alarmı, yangın tehlikesi!",Orta
"Mahsur kalanlar, kurtarma!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, hemen ambulans!",Yüksek
"Evde yangın, duman var!",Yüksek
"Yaralı çocuk, acil yardım!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su arızası, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
"Su sızıntısı, tamir edilmeli!",Orta
"Kayıp çocuk, arama ekibi!",Yüksek
"Gaz sızıntısı, evden tahliye!",Yüksek
"Çöken bina, enkaz altında insanlar!",Yüksek
"Kadın rehin alındı, polis çağrıldı!",Yüksek
"Kaza, trafik yoğunluğu!",Orta
"Yangın alarmı, yangın!",Orta
"Kurtarma ekibi, mahsur kalanlar!",Yüksek
"Patlayan su borusu, su baskını!",Yüksek
"Ağır hasta, ambulans gerekiyor!",Yüksek
"Yangın, evde duman!",Yüksek
"Yaralı çocuk, ambulans gerekiyor!",Yüksek
"Kaza, yaralılar var!",Yüksek
"Su sızıntısı, tamir edilmeli!",Orta
Acil tıbbi yardım gerekiyor!,Yüksek
"Yangın, itfaiye çağrıldı!",Yüksek
Kayıp evcil hayvan!,Orta
"Su baskını, binada su suları!",Yüksek
"Yüksek gerilim hatları, tehlike!",Yüksek
"Ağır yaralı, hemen ambulans!",Yüksek
"Kaza, yardım gerekiyor!",Orta
